company,location,tag,gender,yoe_total,tc,base,country,state
Facebook,"New York, NY",iOS,Male,7.0,238000.0,148000.0,United States,New York
Apple,"Cupertino, CA",Firmware,Male,22.0,570000.0,215000.0,United States,California
Google,"New York, NY",API Development (Back-End),Male,0.0,170000.0,126000.0,United States,New York
Amazon,"Toronto, ON, Canada",Distributed Systems (Back-End),Male,0.0,130000.0,100000.0,Canada,Ontario
Goldman Sachs,"New York, NY",API Development (Back-End),Male,1.0,160000.0,115000.0,United States,New York
Amazon,"Palo Alto, CA",Distributed Systems (Back-End),Male,15.0,550000.0,185000.0,United States,California
Lyft,"Palo Alto, CA",ML / AI,Female,0.0,230000.0,147000.0,United States,California
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,20.0,300000.0,150000.0,United States,Washington
Microsoft,"Seattle, WA",iOS,Male,4.0,165000.0,135000.0,United States,Washington
Uber,"San Francisco, CA",Full Stack,Female,4.0,216000.0,155000.0,United States,California
Salesforce,"Bengaluru, KA, India",Distributed Systems (Back-End),Male,6.0,64000.0,48000.0,India,Karnataka
Microsoft,"Redmond, WA",Distributed Systems (Back-End),Male,4.0,174000.0,146000.0,United States,Washington
Amazon,"Palo Alto, CA",Distributed Systems (Back-End),Male,8.0,228000.0,152000.0,United States,California
Salesforce,"San Francisco, CA",DevOps,Male,7.0,300000.0,195000.0,United States,California
Uber,"New York, NY",API Development (Back-End),Male,4.0,237000.0,149000.0,United States,New York
Salesforce,"San Francisco, CA",Full Stack,Male,3.0,207000.0,156000.0,United States,California
Google,"Los Angeles, CA",ML / AI,Male,1.0,185000.0,116000.0,United States,California
Microsoft,"Seattle, WA",Distributed Systems (Back-End),Male,2.0,183000.0,118000.0,United States,Washington
Oracle,"San Francisco, CA",Distributed Systems (Back-End),Male,4.0,100000.0,100000.0,United States,California
IBM,"New York, NY",API Development (Back-End),Male,1.0,111000.0,107000.0,United States,New York
Capital One,"Plano, TX",Web Development (Front-End),Male,2.0,108000.0,105000.0,United States,Texas
Microsoft,"Redmond, WA",API Development (Back-End),Male,14.0,210000.0,167000.0,United States,Washington
Google,"Sunnyvale, CA",Distributed Systems (Back-End),Female,2.0,250000.0,160000.0,United States,California
JPMorgan Chase,"Plano, TX",API Development (Back-End),Male,15.0,125000.0,120000.0,United States,Texas
Microsoft,"Bellevue, WA",Web Development (Front-End),Male,6.0,250000.0,160000.0,United States,Washington
Microsoft,"Seattle, WA",DevOps,Female,1.0,161000.0,121000.0,United States,Washington
Amazon,"Seattle, WA",Mobile (iOS + Android),Male,2.0,200000.0,142000.0,United States,Washington
Salesforce,"San Francisco, CA",Distributed Systems (Back-End),Male,13.0,330000.0,218000.0,United States,California
Microsoft,"Redmond, WA",Full Stack,Male,2.0,180000.0,121000.0,United States,Washington
Google,"Boston, MA",Distributed Systems (Back-End),Male,1.0,186000.0,119000.0,United States,Massachusetts
Microsoft,"Redmond, WA",API Development (Back-End),Female,1.0,158000.0,120000.0,United States,Washington
Cisco,"San Jose, CA",Full Stack,Male,15.0,415000.0,210000.0,United States,California
Apple,"Cupertino, CA",ML / AI,Female,3.0,260000.0,165000.0,United States,California
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,2.0,200000.0,142000.0,United States,Washington
Microsoft,"Redmond, WA",Engineering systems,Male,17.0,324000.0,190000.0,United States,Washington
Google,"Sunnyvale, CA",Networking,Male,8.0,296000.0,166000.0,United States,California
Facebook,"New York, NY",Systems/ML,Male,2.0,252000.0,152000.0,United States,New York
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,23.0,300000.0,150000.0,United States,Washington
Microsoft,"Seattle, WA",Distributed Systems (Back-End),Male,4.0,169000.0,143000.0,United States,Washington
Qualcomm,"San Diego, CA",API Development (Back-End),Male,3.0,160000.0,120000.0,United States,California
Facebook,"Menlo Park, CA",Web Development (Front-End),Male,5.0,209000.0,140000.0,United States,California
Google,"Mountain View, CA",Android,Male,2.0,271000.0,152000.0,United States,California
Amazon,"Seattle, WA",Full Stack,Male,6.0,230000.0,150000.0,United States,Washington
Qualcomm,"San Diego, CA",Modem,Male,5.0,142000.0,117000.0,United States,California
Oracle,"Santa Clara, CA",Distributed Systems (Back-End),Male,15.0,390000.0,220000.0,United States,California
Oracle,"Seattle, WA",Cloud,Male,0.0,156000.0,120000.0,United States,Washington
Oracle,"Seattle, WA",Distributed Systems (Back-End),Male,8.0,340000.0,175000.0,United States,Washington
Uber,"San Francisco, CA",iOS,Male,3.0,189000.0,144000.0,United States,California
Capital One,"New York, NY",API Development (Back-End),Male,3.0,116000.0,106000.0,United States,New York
IBM,"Austin, TX",Full Stack,Male,4.0,121000.0,121000.0,United States,Texas
Oracle,"Seattle, WA",Oracle Cloud Infrastructure,Male,2.0,169000.0,135000.0,United States,Washington
Capital One,"Arlington, VA",Full Stack,Male,2.0,120000.0,117000.0,United States,Virginia
Amazon,"New York, NY",API Development (Back-End),Male,0.0,156000.0,123000.0,United States,New York
Facebook,"Menlo Park, CA",API Development (Back-End),Male,2.0,204000.0,147000.0,United States,California
Oracle,"Seattle, WA",Distributed Systems (Back-End),Male,3.0,252000.0,155000.0,United States,Washington
Amazon,"Boulder, CO",Full Stack,Male,4.0,235000.0,160000.0,United States,Colorado
Amazon,"Vancouver, BC, Canada",Distributed Systems (Back-End),Male,16.0,100000.0,100000.0,Canada,British Columbia
Capital One,"Washington, DC",ML / AI,Male,1.0,108000.0,102000.0,United States,District of Columbia
Amazon,"Seattle, WA",Full Stack,Male,8.0,290000.0,157000.0,United States,Washington
Facebook,"New York, NY",API Development (Back-End),Male,4.0,261000.0,165000.0,United States,New York
Google,"Mountain View, CA",ML / AI,Male,0.0,191000.0,129000.0,United States,California
Amazon,"Boston, MA",Full Stack,Male,3.0,195000.0,142000.0,United States,Massachusetts
Amazon,"Boston, MA",API Development (Back-End),Male,5.0,225000.0,145000.0,United States,Massachusetts
Amazon,"Seattle, WA",ML / AI,Male,15.0,500000.0,160000.0,United States,Washington
Google,"Zurich, ZH, Switzerland",Full Stack,Male,5.0,285000.0,185000.0,Switzerland,Zurich
Microsoft,"Redmond, WA",Testing (SDET),Male,8.0,196000.0,154000.0,United States,Washington
Google,"Mountain View, CA",iOS,Male,2.0,192000.0,128000.0,United States,California
Salesforce,"San Francisco, CA",Distributed Systems (Back-End),Male,23.0,619000.0,295000.0,United States,California
Microsoft,"Seattle, WA",ML / AI,Male,0.0,160000.0,109000.0,United States,Washington
Facebook,"New York, NY",Android,Male,2.0,272000.0,150000.0,United States,New York
Amazon,"Toronto, ON, Canada",Distributed Systems (Back-End),Male,13.0,188000.0,113000.0,Canada,Ontario
Cisco,"San Jose, CA",Web Development (Front-End),Male,8.0,175000.0,131000.0,United States,California
JPMorgan Chase,"New York, NY",Full Stack,Female,10.0,145000.0,135000.0,United States,New York
Google,"Cambridge, MA",Distributed Systems (Back-End),Male,10.0,205000.0,137000.0,United States,Massachusetts
Goldman Sachs,"New York, NY",Web Development (Front-End),Female,1.0,140000.0,110000.0,United States,New York
Goldman Sachs,"New York, NY",Full Stack,Male,9.0,270000.0,175000.0,United States,New York
Amazon,"Austin, TX",Embedded,Male,3.0,200000.0,150000.0,United States,Texas
Amazon,"Seattle, WA",API Development (Back-End),Male,11.0,250000.0,160000.0,United States,Washington
Uber,"San Francisco, CA",Distributed Systems (Back-End),Male,8.0,301000.0,155000.0,United States,California
Google,"New York, NY",Full Stack,Male,5.0,261000.0,153000.0,United States,New York
Amazon,"London, EN, United Kingdom",Full Stack,Male,2.0,78000.0,60000.0,United Kingdom,England
Goldman Sachs,"New York, NY",Data Engineer,Male,2.0,146000.0,110000.0,United States,New York
Amazon,"Seattle, WA",API Development (Back-End),Male,7.0,294000.0,154000.0,United States,Washington
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,2.0,189000.0,142000.0,United States,Washington
Amazon,"Seattle, WA",API Development (Back-End),Male,0.0,142000.0,108000.0,United States,Washington
Oracle,"Seattle, WA",Full Stack,Male,11.0,400000.0,200000.0,United States,Washington
Uber,"San Francisco, CA",API Development (Back-End),Male,9.0,480000.0,200000.0,United States,California
Google,"Seattle, WA",DevOps,Male,8.0,301000.0,164000.0,United States,Washington
Salesforce,"San Francisco, CA",API Development (Back-End),Female,12.0,250000.0,175000.0,United States,California
Uber,"Pittsburgh, PA",Embedded,Male,4.0,179000.0,127000.0,United States,Pennsylvania
Microsoft,"Redmond, WA",API Development (Back-End),Male,2.0,155000.0,123000.0,United States,Washington
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,3.0,190000.0,147000.0,United States,Washington
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,1.0,135000.0,105000.0,United States,Washington
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,0.0,148000.0,112000.0,United States,Washington
Amazon,"Seattle, WA",API Development (Back-End),Male,13.0,300000.0,150000.0,United States,Washington
Apple,"Seattle, WA",ML / AI,Male,4.0,179000.0,135000.0,United States,Washington
Salesforce,"Bellevue, WA",Distributed Systems (Back-End),Female,3.0,171000.0,133000.0,United States,Washington
Qualcomm,"San Diego, CA",Full Stack,Male,15.0,225000.0,160000.0,United States,California
Google,"Los Angeles, CA",ML / AI,Male,6.0,315000.0,160000.0,United States,California
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,1.0,172000.0,130000.0,United States,Washington
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,4.0,135000.0,107000.0,United States,Washington
Microsoft,"Hyderabad, AP, India",Full Stack,Male,3.0,36000.0,23000.0,India,Andhra Pradesh
Google,"Sunnyvale, CA",Web Development (Front-End),Male,1.0,190000.0,132000.0,United States,California
Amazon,"New York, NY",Full Stack,Female,4.0,200000.0,150000.0,United States,New York
Microsoft,"Redmond, WA",Full Stack,Male,4.0,156000.0,134000.0,United States,Washington
Amazon,"New York, NY",Distributed Systems (Back-End),Male,8.0,270000.0,175000.0,United States,New York
Salesforce,"Langhorne, PA",Full Stack,Male,21.0,163000.0,142000.0,United States,Pennsylvania
Goldman Sachs,"New York, NY",Web Development (Front-End),Male,1.0,165000.0,110000.0,United States,New York
Microsoft,"Oregon City, OR",Security,Male,0.0,140000.0,100000.0,United States,Oregon
Facebook,"London, EN, United Kingdom",API Development (Back-End),Male,1.0,140000.0,99000.0,United Kingdom,England
Amazon,"Cupertino, CA",Distributed Systems (Back-End),Male,10.0,288000.0,178000.0,United States,California
Google,"Mountain View, CA",Chrome OS,Male,3.0,313000.0,180000.0,United States,California
Oracle,"Pleasanton, CA",API Development (Back-End),Male,15.0,300000.0,230000.0,United States,California
Apple,"Cupertino, CA",Operating Systems,Male,16.0,416000.0,201000.0,United States,California
Amazon,"Seattle, WA",Full Stack,Male,1.0,193000.0,135000.0,United States,Washington
Apple,"Cupertino, CA",ML / AI,Female,0.0,218000.0,150000.0,United States,California
Amazon,"New York, NY",Full Stack,Female,4.0,200000.0,150000.0,United States,New York
Microsoft,"Redmond, WA",Full Stack,Male,4.0,156000.0,134000.0,United States,Washington
Amazon,"New York, NY",Distributed Systems (Back-End),Male,8.0,270000.0,175000.0,United States,New York
Salesforce,"Langhorne, PA",Full Stack,Male,21.0,163000.0,142000.0,United States,Pennsylvania
Goldman Sachs,"New York, NY",Web Development (Front-End),Male,1.0,165000.0,110000.0,United States,New York
Microsoft,"Oregon City, OR",Security,Male,0.0,140000.0,100000.0,United States,Oregon
Facebook,"London, EN, United Kingdom",API Development (Back-End),Male,1.0,140000.0,99000.0,United Kingdom,England
Amazon,"Cupertino, CA",Distributed Systems (Back-End),Male,10.0,288000.0,178000.0,United States,California
Google,"Mountain View, CA",Chrome OS,Male,3.0,313000.0,180000.0,United States,California
Oracle,"Pleasanton, CA",API Development (Back-End),Male,15.0,300000.0,230000.0,United States,California
Apple,"Cupertino, CA",Operating Systems,Male,16.0,416000.0,201000.0,United States,California
Amazon,"Seattle, WA",Full Stack,Male,1.0,193000.0,135000.0,United States,Washington
Apple,"Cupertino, CA",ML / AI,Female,0.0,218000.0,150000.0,United States,California
Amazon,"Sunnyvale, CA",Android,Male,8.0,290000.0,182000.0,United States,California
Qualcomm,"San Diego, CA",firmware,Male,7.0,200000.0,140000.0,United States,California
Apple,"Cupertino, CA",API Development (Back-End),Male,10.0,380000.0,197000.0,United States,California
Amazon,"Seattle, WA",ML / AI,Male,6.0,200000.0,128000.0,United States,Washington
Amazon,"Seattle, WA",iOS,Male,8.0,200000.0,155000.0,United States,Washington
Amazon,"Sunnyvale, CA",Distributed Systems (Back-End),Male,10.0,355000.0,185000.0,United States,California
Amazon,"Seattle, WA",API Development (Back-End),Male,0.0,144000.0,112000.0,United States,Washington
Google,"New York, NY",Full Stack,Male,5.0,367000.0,191000.0,United States,New York
Microsoft,"Redmond, WA",DevOps,Male,20.0,280000.0,210000.0,United States,Washington
Microsoft,"Redmond, WA",Full Stack,Female,0.0,209000.0,109000.0,United States,Washington
Google,"Mountain View, CA",ML / AI,Male,12.0,548000.0,235000.0,United States,California
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,0.0,136000.0,112000.0,United States,Washington
Google,"Kirkland, WA",Distributed Systems (Back-End),Male,9.0,550000.0,211000.0,United States,Washington
Amazon,"Seattle, WA",Full Stack,Male,0.0,149000.0,108000.0,United States,Washington
Apple,"Cupertino, CA",API Development (Back-End),Male,8.0,400000.0,180000.0,United States,California
Uber,"San Francisco, CA",Distributed Systems (Back-End),Male,6.0,245000.0,155000.0,United States,California
Google,"Mountain View, CA",Distributed Systems (Back-End),Male,8.0,277000.0,163000.0,United States,California
Google,"Bangalore, KA, India",ML / AI,Male,6.0,155000.0,54000.0,India,Karnataka
Google,"New York, NY",Full Stack,Male,2.0,192000.0,126000.0,United States,New York
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,5.0,300000.0,150000.0,United States,Washington
Amazon,"Seattle, WA",Full Stack,Male,15.0,280000.0,160000.0,United States,Washington
Oracle,"Redwood City, CA",Distributed Systems (Back-End),Male,2.0,165000.0,147000.0,United States,California
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,3.0,163000.0,134000.0,United States,Washington
Uber,"San Francisco, CA",Full Stack,Male,15.0,857000.0,257000.0,United States,California
Facebook,"Menlo Park, CA",Full Stack,Male,2.0,162000.0,110000.0,United States,California
Salesforce,"Dallas, TX",Salesforce,Male,6.0,176000.0,135000.0,United States,Texas
Google,"Mountain View, CA",Distributed Systems (Back-End),Male,0.0,200000.0,126000.0,United States,California
Google,"Seattle, WA",SRE,Male,3.0,198000.0,122000.0,United States,Washington
Facebook,"Menlo Park, CA",Distributed Systems (Back-End),Male,15.0,1010000.0,280000.0,United States,California
Microsoft,"Redmond, WA",Game Development,Male,9.0,164000.0,143000.0,United States,Washington
Cisco,"San Jose, CA",Networking,Female,0.0,100000.0,100000.0,United States,California
Oracle,"Broomfield, CO",Full Stack,Female,20.0,139000.0,136000.0,United States,Colorado
Oracle,"Redwood City, CA",API Development (Back-End),Male,9.0,131000.0,131000.0,United States,California
Microsoft,"Redmond, WA",Full Stack,Male,7.0,187000.0,146000.0,United States,Washington
IBM,"New York, NY",API Development (Back-End),Male,8.0,179000.0,174000.0,United States,New York
Capital One,"Washington, DC",ML / AI,Male,12.0,160000.0,150000.0,United States,District of Columbia
Google,"Palo Alto, CA",ML / AI,Male,8.0,323000.0,185000.0,United States,California
JPMorgan Chase,"Singapore, SG, Singapore",Full Stack,Male,5.0,56000.0,56000.0,Singapore,
Amazon,"Seattle, WA",Unknown team,Female,1.0,132000.0,112000.0,United States,Washington
Microsoft,"Redmond, WA",API Development (Back-End),Male,2.0,168000.0,130000.0,United States,Washington
Oracle,"Seattle, WA",Security,Female,1.0,180000.0,140000.0,United States,Washington
Amazon,"Seattle, WA",ML / AI,Male,3.0,195000.0,145000.0,United States,Washington
Facebook,"Menlo Park, CA",Distributed Systems (Back-End),Female,11.0,400000.0,197000.0,United States,California
Amazon,"Seattle, WA",Full Stack,Female,5.0,250000.0,150000.0,United States,Washington
Salesforce,"New York, NY",API Development (Back-End),Male,8.0,201000.0,150000.0,United States,New York
Oracle,"Santa Clara, CA",Distributed Systems (Back-End),Male,4.0,245000.0,175000.0,United States,California
Apple,"Cambridge, EN, United Kingdom",ML / AI,Male,1.0,141000.0,85000.0,United Kingdom,England
Microsoft,"Redmond, WA",DevOps,Female,1.0,109000.0,109000.0,United States,Washington
Google,"Chicago, IL",API Development (Back-End),Male,1.0,165000.0,110000.0,United States,Illinois
JPMorgan Chase,"Herzliyya, TA, Israel",API Development (Back-End),Male,15.0,125000.0,125000.0,,
Google,"San Francisco, CA",ML / AI,Male,3.0,220000.0,141000.0,United States,California
Google,"Los Angeles, CA",Full Stack,Male,4.0,180000.0,124000.0,United States,California
Google,"Mountain View, CA",Distributed Systems (Back-End),Female,4.0,325000.0,180000.0,United States,California
JPMorgan Chase,"Plano, TX",Full Stack,Male,0.0,90000.0,85000.0,United States,Texas
Amazon,"Irvine, CA",Full Stack,Male,2.0,182000.0,142000.0,United States,California
Goldman Sachs,"Salt Lake City, UT",API Development (Back-End),Male,4.0,110000.0,90000.0,United States,Utah
Google,"Zurich, ZH, Switzerland",iOS,Male,2.0,169000.0,132000.0,Switzerland,Zurich
Amazon,"London, EN, United Kingdom",Full Stack,Male,3.0,96000.0,65000.0,United Kingdom,England
Amazon,"Seattle, WA",API Development (Back-End),Male,13.0,220000.0,150000.0,United States,Washington
Apple,"Cupertino, CA",Machine Learning,Male,8.0,260000.0,220000.0,United States,California
IBM,"Markham, ON, Canada",Distributed Systems (Back-End),Male,7.0,87000.0,85000.0,Canada,Ontario
Microsoft,"Redmond, WA",API Development (Back-End),Female,4.0,140000.0,127000.0,United States,Washington
Cisco,"Ottawa, ON, Canada",Networking,Male,7.0,110000.0,86000.0,Canada,Ontario
Uber,"Seattle, WA",Distributed Systems (Back-End),Male,4.0,245000.0,152000.0,United States,Washington
Apple,"Cupertino, CA",API Development (Back-End),Male,10.0,280000.0,180000.0,United States,California
Salesforce,"Seattle, WA",Full Stack,Male,11.0,333000.0,240000.0,United States,Washington
Facebook,"San Francisco, CA",Full Stack,Male,6.0,330000.0,200000.0,United States,California
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,0.0,190000.0,134000.0,United States,Washington
Microsoft,"Redmond, WA",API Development (Back-End),Male,7.0,186000.0,144000.0,United States,Washington
Google,"Mountain View, CA",ML / AI,Male,5.0,296000.0,146000.0,United States,California
Google,"New York, NY",Full Stack,Male,7.0,307000.0,166000.0,United States,New York
Apple,"Cupertino, CA",Distributed Systems (Back-End),Female,4.0,250000.0,185000.0,United States,California
Salesforce,"San Francisco, CA",API Development (Back-End),Male,2.0,245000.0,180000.0,United States,California
Uber,"Palo Alto, CA",Distributed Systems (Back-End),Male,2.0,258000.0,155000.0,United States,California
Google,"Sunnyvale, CA",Networking,Male,2.0,225000.0,140000.0,United States,California
Salesforce,"San Francisco, CA",Testing (SDET),Male,13.0,328000.0,225000.0,United States,California
Google,"Sunnyvale, CA",API Development (Back-End),Female,3.0,305000.0,150000.0,United States,California
Amazon,"Seattle, WA",Full Stack,Male,3.0,200000.0,140000.0,United States,Washington
Google,"Stockholm, ST, Sweden",Specialist,Male,12.0,278000.0,123000.0,Sweden,
Capital One,"Washington, DC",Full Stack,Male,2.0,99000.0,99000.0,United States,District of Columbia
Google,"Los Angeles, CA",Distributed Systems (Back-End),Male,3.0,247000.0,137000.0,United States,California
Google,"San Francisco, CA",Distributed Systems (Back-End),Male,15.0,368000.0,204000.0,United States,California
Google,"Raleigh, NC",Distributed Systems (Back-End),Male,17.0,562000.0,212000.0,United States,North Carolina
Microsoft,"Redmond, WA",Distributed Systems (Back-End),Male,7.0,290000.0,165000.0,United States,Washington
Microsoft,"Redmond, WA",Distributed Systems (Back-End),Male,3.0,187000.0,137000.0,United States,Washington
Facebook,"London, EN, United Kingdom",ML / AI,Male,10.0,275000.0,130000.0,United Kingdom,England
Amazon,"San Francisco, CA",API Development (Back-End),Male,6.0,334000.0,177000.0,United States,California
Apple,"Cupertino, CA",ML / AI,Male,0.0,200000.0,130000.0,United States,California
JPMorgan Chase,"Chicago, IL",Distributed Systems (Back-End),Male,1.0,95000.0,95000.0,United States,Illinois
Salesforce,"San Francisco, CA",Full Stack,Male,10.0,368000.0,223000.0,United States,California
IBM,"Poughkeepsie, NY",Full Stack,Female,2.0,105000.0,105000.0,United States,New York
Oracle,"Santa Clara, CA",Distributed Systems (Back-End),Male,2.0,245000.0,130000.0,United States,California
Google,"Boulder, CO",Distributed Systems (Back-End),Male,20.0,308000.0,164000.0,United States,Colorado
Google,"Seattle, WA",Distributed Systems (Back-End),Male,13.0,441000.0,201000.0,United States,Washington
Lyft,"Palo Alto, CA",Full Stack,Male,5.0,320000.0,175000.0,United States,California
JPMorgan Chase,"Columbus, OH",API Development (Back-End),Male,1.0,83000.0,80000.0,United States,Ohio
Amazon,"Herndon, VA",Distributed Systems (Back-End),Male,1.0,156000.0,117000.0,United States,Virginia
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,1.0,138000.0,108000.0,United States,Washington
Apple,"Cupertino, CA",Web Development (Front-End),Male,3.0,245000.0,160000.0,United States,California
